"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"184","3285","00479832","3285R","Sac and Fox Nation","Sac and Fox Nation Reservation","86","D8","R","F","G2101","A",59692870,0,"+40.0094817","-095.5130778"
"185","0095","00218194","0095R","Alturas","Alturas Indian Rancheria","97","D2","R","F","G2101","A",100606,0,"+41.4776544","-120.5244037"
"186","0555","00220808","0555R","Cedarville","Cedarville Rancheria","85","D8","R","F","G2101","A",94077,0,"+41.5262496","-120.1837215"
"187","1170","00260275","1170R","Fort Bidwell","Fort Bidwell Reservation","86","D8","R","F","G2101","A",13858179,14695,"+41.8640767","-120.1931799"
"188","1955","00276402","1955R","Likely","Likely Rancheria","85","D2","R","F","G2101","A",6237,0,"+41.2047695","-120.4788308"
"189","1980","00227643","1980R","Lookout","Lookout Rancheria","85","D2","R","F","G2101","A",163356,0,"+41.2138759","-121.0933983"
"190","4680","00252581","4680R","XL Ranch","XL Ranch Rancheria","85","D2","R","F","G2101","A",39457211,41941,"+41.5511283","-120.4528304"
"191","1825","01580845","1825R","Lac du Flambeau","Lac du Flambeau Reservation","86","D2","R","F","G2101","A",277156569,73028498,"+45.9847994","-089.8792842"
"192","3870","00249635","3870R","Soboba","Soboba Reservation","86","D8","R","F","G2101","A",23621531,476657,"+33.7741421","-116.8806640"
"193","3940","01511576","3940R","Spokane","Spokane Reservation","86","D8","R","F","G2101","A",615341311,31968396,"+47.9290997","-118.0481284"
"194","0080","00978667","0080R","Allegany","Allegany Reservation","86","D2","R","F","G2101","A",105895370,19741039,"+42.1241177","-078.6704159"
"195","0620","02419337","0620R","Chicken Ranch","Chicken Ranch Rancheria","85","D8","R","F","G2101","A",28868,0,"+37.9284940","-120.4521421"
"196","2115","00245463","2115R","Manzanita","Manzanita Reservation","86","D8","R","F","G2101","A",18572875,0,"+32.7547170","-116.3461124"
"197","2190","02419013","2190R","Mesa Grande","Mesa Grande Reservation","86","D2","R","F","G2101","A",7058523,0,"+33.0931693","-116.7423660"
"198","2635","00272502","2635R","Pala","Pala Reservation","86","D2","R","F","G2101","A",52706183,0,"+33.3593093","-117.0468137"
"199","0965","00858264","0965R","Duck Valley","Duck Valley Reservation","86","D2","R","F","G2101","A",1161676028,10555337,"+41.9952686","-116.1837855"
"200","1685","00916031","1685R","Jemez","Jemez Pueblo","84","D2","R","F","G2101","A",361712362,13020,"+35.7593539","-106.8821089"
"201","1700","01934339","1700R","Jicarilla Apache Nation","Jicarilla Apache Nation Reservation","86","D8","R","F","G2101","A",3405588193,10114484,"+36.5545359","-107.0677113"
"202","3400","00910614","3400R","San Felipe","San Felipe Pueblo","84","D2","R","F","G2101","A",205910669,1314436,"+35.4248555","-106.4318234"
"203","1770","00479833","1770R","Kickapoo (KS)","Kickapoo (KS) Reservation","86","D2","R","F","G2101","A",611934196,1457960,"+39.6746481","-095.6109266"
"204","2785","01934341","2785R","Picuris","Picuris Pueblo","84","D2","R","F","G2101","A",70852477,7083,"+36.2002840","-105.7094667"
"205","4140","01934342","4140R","Taos","Taos Pueblo","84","D8","R","F","G2101","A",401222911,154305,"+36.4726906","-105.5250260"
"206","0815","02418898","0815R","Cow Creek","Cow Creek Reservation","86","D8","R","F","G2101","A",10056768,0,"+43.0656470","-123.3520792"
"207","3625","02419131","3625R","Sauk-Suiattle","Sauk-Suiattle Reservation","86","D2","R","F","G2101","A",188279,0,"+48.3201994","-121.5485564"
"208","4075","01528418","4075R","Swinomish","Swinomish Reservation","86","D8","R","F","G2101","A",30853117,23602230,"+48.4154021","-122.5363954"
"209","4455","02419510","4455R","Upper Skagit","Upper Skagit Reservation","86","D2","R","F","G2101","A",456349,0,"+48.5407296","-122.1872784"
"210","2760","00582669","2760R","Penobscot","Penobscot Reservation","86","D8","R","F","G2101","A",19609464,38215441,"+45.0444545","-068.6650099"
"211","1530","02418969","1530R","Houlton Maliseet","Houlton Maliseet Reservation","86","D8","R","F","G2101","A",3321526,22653,"+46.1806958","-067.8146943"
"212","0020","01934324","0020R","Agua Caliente","Agua Caliente Indian Reservation","96","D8","R","F","G2101","A",126658908,930133,"+33.7877335","-116.5320123"
"213","0125","00238830","0125R","Augustine","Augustine Reservation","86","D2","R","F","G2101","A",2271942,0,"+33.6498630","-116.1912023"
"214","0415","01985192","0415R","Cabazon","Cabazon Reservation","86","D2","R","F","G2101","A",7772465,0,"+33.6874930","-116.1687638"
"215","0435","00270144","0435R","Cahuilla","Cahuilla Reservation","86","D2","R","F","G2101","A",74936001,0,"+33.5202430","-116.7117549"
"216","0735","00022753","0735R","Colorado River","Colorado River Indian Reservation","96","D2","R","F","G2101","A",1184443741,17684722,"+33.9391133","-114.3881153"
"217","2360","00255940","2360R","Morongo","Morongo Reservation","86","D8","R","F","G2101","A",138335703,326156,"+33.9656090","-116.8174499"
"218","1250","00805884","1250R","Fort Peck","Fort Peck Indian Reservation","96","D8","R","F","G2101","A",8516874185,34551290,"+48.3675377","-105.5297091"
"219","0990","01018039","0990R","Eastern Cherokee","Eastern Cherokee Reservation","86","D2","R","F","G2101","A",211578510,47463,"+35.5364753","-083.2478420"
"220","2715","00272896","2715R","Pauma and Yuima","Pauma and Yuima Reservation","86","D2","R","F","G2101","A",24251870,0,"+33.3632161","-116.9549491"
"221","1850","00271928","1850R","La Jolla","La Jolla Reservation","86","D2","R","F","G2101","A",34958046,0,"+33.2650358","-116.8497043"
"222","1895","00255947","1895R","La Posta","La Posta Indian Reservation","96","D2","R","F","G2101","A",16560558,0,"+32.7345086","-116.3912486"
"223","1995","00272219","1995R","Los Coyotes","Los Coyotes Reservation","86","D2","R","F","G2101","A",101560620,0,"+33.2976981","-116.5560198"
"224","2560","01577191","2560R","Oneida (WI)","Oneida (WI) Reservation","86","D8","R","F","G2101","A",264716564,306022,"+44.4895868","-088.1997310"
"225","1040","00859672","1040R","Ely","Ely Reservation","86","D2","R","F","G2101","A",14629585,0,"+39.1560995","-115.0131663"
"226","3020","00265103","3020R","Quartz Valley","Quartz Valley Reservation","86","D8","R","F","G2101","A",2451492,0,"+41.6114831","-122.9723591"
"227","4315","02419503","4315R","Tunica-Biloxi","Tunica-Biloxi Reservation","86","D8","R","F","G2101","A",1689056,0,"+31.1132206","-092.0536008"
"228","1075","00840414","1075R","Fallon Paiute-Shoshone","Fallon Paiute-Shoshone Reservation","86","D8","R","F","G2101","A",33125604,0,"+39.5210015","-118.6181460"
"229","4515","00857504","4515R","Walker River","Walker River Reservation","86","D2","R","F","G2101","A",1368415068,7784361,"+38.9757370","-118.7305780"
"230","1160","01934325","1160R","Fort Berthold","Fort Berthold Reservation","86","D2","R","F","G2101","A",3416490174,682464787,"+47.7696737","-102.2967782"
"231","2075","00227877","2075R","Lytton","Lytton Rancheria","85","D2","R","F","G2101","A",21937,0,"+37.9525763","-122.3344030"
"232","2745","00272911","2745R","Pechanga","Pechanga Reservation","86","D2","R","F","G2101","A",18159532,6136,"+33.4403701","-117.0482657"
"233","3070","00273181","3070R","Ramona","Ramona Village","94","D2","R","F","G2101","A",2195130,14944,"+33.6064351","-116.7030244"
"234","9350","00210687","9350R","Schaghticoke","Schaghticoke (state) Reservation","86","D4","R","S","G2101","A",1122120,0,"+41.6925090","-073.5091255"
"235","4500","00251037","4500R","Viejas","Viejas Reservation","86","D2","R","F","G2101","A",6495786,0,"+32.8501459","-116.6925567"
"236","2240","00307483","2240R","Miccosukee","Miccosukee Reservation","86","D8","R","F","G2101","A",332061990,9163,"+26.0638995","-080.8225350"
"237","3250","00267196","3250R","Round Valley","Round Valley Reservation","86","D8","R","F","G2101","A",30320904,11491,"+39.8642196","-123.1883707"
"238","1010","01657318","1010R","Elk Valley","Elk Valley Rancheria","85","D8","R","F","G2101","A",361182,0,"+41.7603258","-124.1565074"
"239","3145","01657342","3145R","Resighini","Resighini Rancheria","85","D2","R","F","G2101","A",883217,0,"+41.5143242","-124.0166637"
"240","3855","00274833","3855R","Smith River","Smith River Rancheria","85","D8","R","F","G2101","A",657825,0,"+41.9554035","-124.2064440"
"241","4610","01597068","4610R","Wind River","Wind River Reservation","86","D8","R","F","G2101","A",8979307824,149680446,"+43.2723824","-108.8444961"
"242","3860","02419473","3860R","Snoqualmie","Snoqualmie Reservation","86","D2","R","F","G2101","A",229227,0,"+47.5191899","-121.8415810"
"243","0680","00937176","0680R","Cochiti","Pueblo de Cochiti","99","D2","R","F","G2101","A",207840133,4836769,"+35.6103303","-106.3148255"
"244","2400","00918263","2400R","Nambe","Nambe Pueblo","84","D8","R","F","G2101","A",83061771,113166,"+35.8702317","-105.9201648"
"245","0050","01350923","0050R","Alabama-Coushatta","Alabama-Coushatta Reservation","86","D8","R","F","G2101","A",18613144,83761,"+30.7333828","-094.7100439"
"246","0360","00300151","0360R","Brighton","Brighton Reservation","86","D2","R","F","G2101","A",147956906,58129,"+27.0947114","-081.0542694"
"247","1655","02418978","1655R","Jamestown S'Klallam","Jamestown S'Klallam Reservation","86","D8","R","F","G2101","A",46014,15832,"+48.0223727","-123.0110530"
"248","2040","01528424","2040R","Lower Elwha","Lower Elwha Reservation","86","D8","R","F","G2101","A",3391324,89755,"+48.1468452","-123.5585280"
"249","2085","01511577","2085R","Makah","Makah Indian Reservation","96","D2","R","F","G2101","A",121249415,599608,"+48.3338551","-124.6354040"
"250","3030","01511646","3030R","Quileute","Quileute Reservation","86","D2","R","F","G2101","A",4153238,9612,"+47.9064025","-124.6218128"
"251","3100","01934331","3100R","Red Lake","Red Lake Reservation","86","D2","R","F","G2101","A",2287508473,976176129,"+48.1431310","-095.1577447"
"252","1450","02418963","1450R","Ho-Chunk Nation","Ho-Chunk Nation Reservation","86","D8","R","F","G2101","A",2713155,0,"+44.3462174","-090.7558827"
"253","1340","01455300","1340R","Goshute","Goshute Reservation","86","D2","R","F","G2101","A",486386106,13114,"+39.8689689","-114.0740693"
"254","0760","01529464","0760R","Colville","Colville Reservation","86","D8","R","F","G2101","A",5479909436,179133432,"+48.2437967","-118.8720627"
"255","0155","00255962","0155R","Barona","Barona Reservation","86","D2","R","F","G2101","A",24115446,0,"+32.9552696","-116.8443014"
"256","0450","00270242","0450R","Campo","Campo Indian Reservation","96","D2","R","F","G2101","A",66733680,0,"+32.6736406","-116.3632608"
"257","0495","00240225","0495R","Capitan Grande","Capitan Grande Reservation","86","D2","R","F","G2101","A",64429162,832,"+32.9229970","-116.7543341"
"258","1235","00024003","1235R","Fort Mojave","Fort Mojave Reservation","86","D8","R","F","G2101","A",133338906,2974770,"+34.9382716","-114.6145112"
"259","1915","00853945","1915R","Las Vegas","Las Vegas Indian Colony","98","D2","R","F","G2101","A",16161355,0,"+36.3505391","-115.3409885"
"260","2315","00845336","2315R","Moapa River","Moapa River Indian Reservation","96","D2","R","F","G2101","A",287401201,0,"+36.5700303","-114.7423483"
"261","2685","02419050","2685R","Paskenta","Paskenta Rancheria","85","D2","R","F","G2101","A",8662058,9053,"+39.8674225","-122.2272760"
"262","4345","01934334","4345R","Turtle Mountain","Turtle Mountain Reservation","86","D8","R","F","G2101","A",174822033,11221901,"+48.8622415","-099.7943651"
"263","4130","02419488","4130R","Tampa","Tampa Reservation","86","D2","R","F","G2101","A",179696,1837,"+27.9934796","-082.3710001"
"264","0185","02419307","0185R","Benton Paiute","Benton Paiute Reservation","86","D8","R","F","G2101","A",596679,0,"+37.7934692","-118.5208350"
"265","0350","02419320","0350R","Bridgeport","Bridgeport Reservation","86","D2","R","F","G2101","A",142706,0,"+38.2663364","-119.2159366"
"266","0825","01985199","0825R","Coyote Valley","Coyote Valley Reservation","86","D2","R","F","G2101","A",347174,0,"+39.2541828","-123.2089171"
"267","1400","00224709","1400R","Guidiville","Guidiville Rancheria","85","D8","R","F","G2101","A",175438,0,"+39.1654306","-123.1699400"
"268","0010","01934337","0010R","Acoma","Acoma Pueblo","84","D8","R","F","G2101","A",1065705456,331928,"+34.8667707","-107.6888783"
"269","2990","00937193","2990R","Pojoaque","Pueblo of Pojoaque","9C","D8","R","F","G2101","A",54748545,0,"+35.8934889","-106.0262715"
"270","3415","00918342","3415R","San Ildefonso","San Ildefonso Pueblo","84","D8","R","F","G2101","A",113278900,540969,"+35.8851545","-106.1457005"
"271","4700","01891160","4700R","Yankton","Yankton Reservation","86","D2","R","F","G2101","A",1723552817,49380242,"+43.1034164","-098.3742420"
"272","0140","01577209","0140R","Bad River","Bad River Reservation","86","D2","R","F","G2101","A",499296099,9997656,"+46.5214832","-090.6654905"
"273","9300","00979384","9300R","Poospatuck","Poospatuck (state) Reservation","86","D4","R","S","G2101","A",292589,148142,"+40.7889207","-072.8326042"
"274","9370","00979494","9370R","Shinnecock","Shinnecock (state) Reservation","86","D4","R","S","G2101","A",3494293,0,"+40.8737611","-072.4309700"
"275","2340","02419023","2340R","Mooretown","Mooretown Rancheria","85","D8","R","F","G2101","A",132045,0,"+39.4670736","-121.5197261"
"276","1815","01577192","1815R","Lac Courte Oreilles","Lac Courte Oreilles Reservation","86","D8","R","F","G2101","A",277738317,41309823,"+45.8811565","-091.3305643"
"277","0540","00978804","0540R","Cattaraugus","Cattaraugus Reservation","86","D2","R","F","G2101","A",86903208,2226871,"+42.5382425","-079.0098329"
"278","9260","01472036","9260R","Pamunkey","Pamunkey (state) Reservation","86","D4","R","S","G2101","A",4422059,1958359,"+37.5718327","-077.0052176"
"279","4330","00236635","4330R","Tuolumne","Tuolumne Rancheria","85","D2","R","F","G2101","A",1539778,0,"+37.9807806","-120.2379437"
"280","1140","00004741","1140R","Fort Apache","Fort Apache Reservation","86","D2","R","F","G2101","A",6799296426,15508329,"+33.9414720","-110.1361375"
"281","4785","01934346","4785R","Zuni","Zuni Reservation","86","D8","R","F","G2101","A",1705037913,3296131,"+35.0399659","-108.7487783"
"282","9150","02418958","9150R","Hassanamisco","Hassanamisco (state) Reservation","86","D4","R","S","G2101","A",20909,0,"+42.2120115","-071.7044957"
"283","1065","00241187","1065R","Ewiiaapaayp","Ewiiaapaayp Reservation","86","D2","R","F","G2101","A",22139264,0,"+32.8416331","-116.3856553"
"284","1560","00243797","1560R","Inaja and Cosmit","Inaja and Cosmit Reservation","86","D2","R","F","G2101","A",3484656,0,"+33.0105121","-116.6416425"
"285","1670","02418979","1670R","Jamul","Jamul Indian Village","93","D2","R","F","G2101","A",59534,0,"+32.7026509","-116.8708524"
"286","3525","01934330","3525R","Santa Rosa","Santa Rosa Reservation","86","D2","R","F","G2101","A",44189655,0,"+33.5564601","-116.5291962"
"287","1775","02418986","1775R","Kickapoo (TX)","Kickapoo (TX) Reservation","86","D2","R","F","G2101","A",496850,1492,"+28.6100324","-100.4375695"
"288","2030","01267015","2030R","Lower Brule","Lower Brule Reservation","86","D8","R","F","G2101","A",874831230,119536030,"+44.0923076","-099.7558740"
"289","4545","01133438","4545R","Warm Springs","Warm Springs Reservation","86","D8","R","F","G2101","A",2616825667,10698805,"+44.8686817","-121.4432309"
"290","2445","00399588","2445R","Nez Perce","Nez Perce Reservation","86","D2","R","F","G2101","A",3091881458,27113179,"+46.3061873","-116.4002894"
"291","3840","01445643","3840R","Skull Valley","Skull Valley Reservation","86","D2","R","F","G2101","A",72932850,0,"+40.3874199","-112.7358133"
"292","0110","01934114","0110R","Annette Island","Annette Island Reserve","87","D2","R","F","G2101","A",343946422,213611589,"+55.1383520","-131.4704235"
"293","3495","00937196","3495R","Santa Clara","Santa Clara Pueblo","84","D2","R","F","G2101","A",199052171,650658,"+35.9745877","-106.1893707"
"294","3585","00937201","3585R","Santo Domingo","Santo Domingo Pueblo","84","D2","R","F","G2101","A",274679063,728080,"+35.5341424","-106.3771547"
"295","1830","02418993","1830R","Lac Vieux Desert","Lac Vieux Desert Reservation","86","D2","R","F","G2101","A",1084320,0,"+46.2825244","-089.1759184"
"296","1100","01934365","1100R","Flandreau","Flandreau Reservation","86","D2","R","F","G2101","A",8973396,86662,"+44.0839627","-096.5896926"
"297","0510","00859157","0510R","Carson","Carson Colony","81","D2","R","F","G2101","A",730858,0,"+39.1393406","-119.7757110"
"298","2535","00959239","2535R","Oil Springs","Oil Springs Reservation","86","D2","R","F","G2101","A",2487843,28100,"+42.2312992","-078.3028177"
"299","0225","01934321","0225R","Big Cypress","Big Cypress Reservation","86","D2","R","F","G2101","A",212782190,581510,"+26.2993888","-080.9592863"
"300","2865","02419057","2865R","Poarch Creek","Poarch Creek Reservation","86","D8","R","F","G2101","A",1070868,7844,"+31.1059341","-087.5646537"
"301","2070","01511578","2070R","Lummi","Lummi Reservation","86","D2","R","F","G2101","A",53674960,43685472,"+48.7673616","-122.6378452"
"302","2475","02419035","2475R","Nooksack","Nooksack Reservation","86","D8","R","F","G2101","A",29191,0,"+48.8241428","-122.2142705"
"303","0585","00255956","0585R","Chemehuevi","Chemehuevi Reservation","86","D2","R","F","G2101","A",124707592,0,"+34.5406033","-114.4085278"
"304","0775","02418881","0775R","Coquille","Coquille Reservation","86","D2","R","F","G2101","A",26108637,102615,"+43.0735516","-123.9100545"
"305","1370","02418951","1370R","Grand Traverse","Grand Traverse Reservation","86","D8","R","F","G2101","A",74273,0,"+45.0199637","-085.6056959"
"306","0440","00848690","0440R","Campbell","Campbell Ranch","91","D2","R","F","G2101","A",6708986,0,"+39.0781955","-119.2082426"
"307","3010","00857503","3010R","Pyramid Lake Paiute","Pyramid Lake Paiute Reservation","86","D2","R","F","G2101","A",1438607680,450821291,"+40.0331031","-119.4921349"
"308","4725","00848133","4725R","Yerington","Yerington Colony","81","D2","R","F","G2101","A",81231,0,"+38.9808449","-119.1709090"
"309","4225","00979554","4225R","Tonawanda","Tonawanda Reservation","86","D2","R","F","G2101","A",30561278,180035,"+43.0741274","-078.4528841"
"310","1195","00260277","1195R","Fort Independence","Fort Independence Reservation","86","D2","R","F","G2101","A",2261362,0,"+36.8411177","-118.2289361"
"311","1640","00226085","1640R","Jackson","Jackson Rancheria","85","D2","R","F","G2101","A",1191715,0,"+38.3848782","-120.7226779"
"312","9280","00209709","9280R","Paucatuck Eastern Pequot","Paucatuck Eastern Pequot (state) Reservation","86","D4","R","S","G2101","A",924356,59004,"+41.4455323","-071.9377759"
"313","4030","00267889","4030R","Sulphur Bank","Sulphur Bank Rancheria","85","D2","R","F","G2101","A",193613,23477,"+39.0085854","-122.6707850"
"314","4430","01654496","4430R","Upper Lake","Upper Lake Rancheria","85","D2","R","F","G2101","A",1918813,8580,"+39.1852647","-122.9192057"
"315","9400","02419487","9400R","Tama","Tama (state) Reservation","86","D4","R","S","G2101","A",365137,2118,"+30.8622593","-084.2650091"
"316","0200","00256849","0200R","Berry Creek","Berry Creek Rancheria","85","D8","R","F","G2101","A",155925,0,"+39.6256089","-121.3278834"
"317","1055","00259950","1055R","Enterprise","Enterprise Rancheria","85","D2","R","F","G2101","A",168284,0,"+39.5616380","-121.3554802"
"318","2375","01533394","2375R","Muckleshoot","Muckleshoot Reservation","86","D8","R","F","G2101","A",15350735,246509,"+47.2666378","-122.1502218"
"319","3000","01514929","3000R","Puyallup","Puyallup Reservation","86","D8","R","F","G2101","A",73825829,2014493,"+47.2448203","-122.3696136"
"320","1005","00856239","1005R","Elko","Elko Colony","81","D2","R","F","G2101","A",781013,0,"+40.8506873","-115.7653950"
"321","3930","00861680","3930R","South Fork","South Fork Reservation","86","D8","R","F","G2101","A",39443125,10727,"+40.5853874","-115.6099838"
"322","4580","00849846","4580R","Wells","Wells Colony","81","D2","R","F","G2101","A",328255,0,"+41.1170163","-114.9790166"
"323","2320","02419022","2320T","Mohegan","Mohegan Off-Reservation Trust Land","OT","D5","T","F","G2102","A",313083,123,"+41.4712973","-072.1084129"
"324","1075","00840414","1075T","Fallon Paiute-Shoshone (Reservation)","Fallon Paiute-Shoshone (Reservation) Off-Reservation Trust Land","OT","D5","T","F","G2102","A",646923,0,"+39.5228627","-118.5794796"
"325","2115","00245463","2115T","Manzanita","Manzanita Off-Reservation Trust Land","OT","D5","T","F","G2102","A",11818,0,"+32.7493206","-116.3779141"
"326","1610","01616981","1610T","Isabella","Isabella Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3407537,27651,"+43.9219560","-083.9223873"
"327","2990","00937193","2990T","Pojoaque","Pojoaque Off-Reservation Trust Land","OT","D5","T","F","G2102","A",693787,0,"+35.8495503","-105.9973750"
"328","3235","01266248","3235T","Rosebud","Rosebud Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1509883512,4247200,"+43.5335377","-100.5040815"
"329","3940","01511576","3940T","Spokane","Spokane Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1323733,0,"+47.6478262","-117.6101377"
"330","0770","02418879","0770T","Coos, Lower Umpqua, and Siuslaw","Coos, Lower Umpqua, and Siuslaw Off-Reservation Trust Land","OT","D5","T","F","G2102","A",494199,6823,"+43.9811329","-124.0865947"
"331","2680","02419049","2680T","Pascua Pueblo Yaqui","Pascua Pueblo Yaqui Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3771685,0,"+32.1297964","-111.0846068"
"332","0200","00256849","0200T","Berry Creek","Berry Creek Off-Reservation Trust Land","OT","D5","T","F","G2102","A",285954,0,"+39.5023700","-121.5044493"
"333","3680","00649741","3680T","Shakopee Mdewakanton Sioux","Shakopee Mdewakanton Sioux Off-Reservation Trust Land","OT","D5","T","F","G2102","A",6356324,3445,"+44.7659959","-093.4589069"
"334","1880","01616978","1880T","L'Anse","L'Anse Off-Reservation Trust Land","OT","D5","T","F","G2102","A",362714,0,"+46.7397585","-088.4294625"
"335","2300","00685014","2300T","Mississippi Choctaw","Mississippi Choctaw Off-Reservation Trust Land","OT","D5","T","F","G2102","A",9672363,0,"+32.8068960","-089.2660129"
"336","4470","00169579","4470T","Ute Mountain","Ute Mountain Off-Reservation Trust Land","OT","D5","T","F","G2102","A",30145547,0,"+37.7237779","-109.6621365"
"337","3780","01508317","3780T","Shoalwater Bay","Shoalwater Bay Off-Reservation Trust Land","OT","D5","T","F","G2102","A",40291,0,"+46.7220154","-124.0132888"
"338","3735","00232986","3735T","Sherwood Valley","Sherwood Valley Off-Reservation Trust Land","OT","D5","T","F","G2102","A",580810,0,"+39.4017946","-123.3057067"
"339","2340","02419023","2340T","Mooretown","Mooretown Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1065555,0,"+39.4696161","-121.5187736"
"340","1963","02419000","1963T","Little Traverse Bay","Little Traverse Bay Off-Reservation Trust Land","OT","D5","T","F","G2102","A",722920,0,"+45.6105904","-084.8007095"
"341","2240","00307483","2240T","Miccosukee","Miccosukee Off-Reservation Trust Land","OT","D5","T","F","G2102","A",20422139,70080,"+26.3086679","-081.0895302"
"342","1590","00479831","1590T","Iowa (KS-NE)","Iowa (KS-NE) Off-Reservation Trust Land","OT","D5","T","F","G2102","A",632771,0,"+39.9689409","-095.3821032"
"343","3285","00479832","3285T","Sac and Fox Nation","Sac and Fox Nation Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1592624,0,"+39.7166880","-095.7397850"
"344","4755","02419529","4755T","Ysleta del Sur","Ysleta del Sur Off-Reservation Trust Land","OT","D5","T","F","G2102","A",12729043,0,"+31.9080393","-106.0178839"
"345","3195","00234577","3195T","Robinson","Robinson Off-Reservation Trust Land","OT","D5","T","F","G2102","A",92040,0,"+39.0522254","-122.9376294"
"346","4770","01934347","4770T","Zia","Zia Off-Reservation Trust Land","OT","D5","T","F","G2102","A",8525603,0,"+35.4955698","-106.7979062"
"347","4545","01133438","4545T","Warm Springs","Warm Springs Off-Reservation Trust Land","OT","D5","T","F","G2102","A",22125464,0,"+45.6510177","-120.4786283"
"348","2495","02419036","2495T","North Fork","North Fork Off-Reservation Trust Land","OT","D5","T","F","G2102","A",669353,0,"+37.2277450","-119.4805730"
"349","2775","01670201","2775T","Picayune","Picayune Off-Reservation Trust Land","OT","D5","T","F","G2102","A",504904,1787,"+37.2110723","-119.7017353"
"350","4180","02419492","4180T","Timbi-Sha Shoshone","Timbi-Sha Shoshone Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1353586,0,"+36.4479352","-116.8702569"
"351","0325","02419316","0325T","Blue Lake","Blue Lake Off-Reservation Trust Land","OT","D5","T","F","G2102","A",93372,9060,"+40.8844630","-124.0023870"
"352","0185","02419307","0185T","Benton Paiute","Benton Paiute Off-Reservation Trust Land","OT","D5","T","F","G2102","A",870857,0,"+37.7865205","-118.5227437"
"353","0690","02418876","0690T","Coconut Creek","Coconut Creek Trust Land","89","D3","T","F","G2102","A",25839,0,"+26.2775289","-080.1998341"
"354","3665","02419138","3665T","Seminole (FL)","Seminole (FL) Trust Land","89","D3","T","F","G2102","A",7841,0,"+26.1039622","-080.2018882"
"355","2400","00918263","2400T","Nambe","Nambe Off-Reservation Trust Land","OT","D5","T","F","G2102","A",748650,0,"+35.8511117","-105.8237406"
"356","3415","00918342","3415T","San Ildefonso","San Ildefonso Off-Reservation Trust Land","OT","D5","T","F","G2102","A",8708848,0,"+35.8813206","-106.2165612"
"357","4200","00023763","4200T","Tohono O'odham Nation","Tohono O'odham Nation Off-Reservation Trust Land","OT","D5","T","F","G2102","A",159818,0,"+32.9637862","-112.7186790"
"358","1370","02418951","1370T","Grand Traverse","Grand Traverse Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3283924,0,"+45.0205335","-085.6309098"
"359","1960","02418998","1960T","Little River","Little River Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3921716,0,"+43.9423850","-086.2383692"
"360","2900","02419061","2900T","Ponca (NE)","Ponca (NE) Trust Land","89","D3","T","F","G2102","A",828880,0,"+42.7123090","-098.0868614"
"361","1365","02418950","1365T","Grand Ronde","Grand Ronde Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3660479,0,"+45.0778973","-123.6068405"
"362","2910","01507567","2910T","Port Gamble","Port Gamble Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1580838,0,"+47.8326255","-122.5509694"
"363","3020","00265103","3020T","Quartz Valley","Quartz Valley Off-Reservation Trust Land","OT","D5","T","F","G2102","A",420841,15011,"+41.5908638","-122.9798801"
"364","4235","00032748","4235T","Tonto Apache","Tonto Apache Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1111003,0,"+34.2210873","-111.3208172"
"365","0955","00222639","0955T","Dry Creek","Dry Creek Off-Reservation Trust Land","OT","D5","T","F","G2102","A",74568,0,"+38.7008979","-122.8606400"
"366","1235","00024003","1235T","Fort Mojave","Fort Mojave Off-Reservation Trust Land","OT","D5","T","F","G2102","A",201965,11703,"+34.8519398","-114.6158249"
"367","3855","00274833","3855T","Smith River","Smith River Off-Reservation Trust Land","OT","D5","T","F","G2102","A",151552,0,"+41.9524685","-124.2019869"
"368","2835","02419056","2835T","Pit River","Pit River Trust Land","89","D3","T","F","G2102","A",1086953,522,"+40.8643618","-121.6766765"
"369","0620","02419337","0620T","Chicken Ranch","Chicken Ranch Off-Reservation Trust Land","OT","D5","T","F","G2102","A",79259,0,"+37.9274052","-120.4489648"
"370","1840","01934340","1840T","Laguna","Laguna Off-Reservation Trust Land","OT","D5","T","F","G2102","A",34368469,169266,"+35.2252423","-107.4450393"
"371","2430","00041148","2430T","Navajo Nation","Navajo Nation Off-Reservation Trust Land","OT","D5","T","F","G2102","A",4899683450,1825063,"+35.7798707","-108.1737616"
"372","4045","00858261","4045T","Summit Lake","Summit Lake Off-Reservation Trust Land","OT","D5","T","F","G2102","A",1034334,0,"+41.5080753","-119.1000244"
"373","1135","02418936","1135T","Forest County Potawatomi","Forest County Potawatomi Off-Reservation Trust Land","OT","D5","T","F","G2102","A",3747984,10,"+45.4668480","-088.6593229"
