"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"54","3795","01155124","3795R","Siletz","Siletz Reservation","86","D8","R","F","G2101","A",16572126,1260,"+44.7565724","-123.7433076"
"55","1963","02419000","1963R","Little Traverse Bay","Little Traverse Bay Reservation","86","D8","R","F","G2101","A",2236749,928,"+45.3543753","-084.9786217"
"56","4755","02419529","4755R","Ysleta del Sur","Ysleta del Sur Pueblo","84","D8","R","F","G2101","A",299403,0,"+31.9260182","-106.0379085"
"57","2460","01528422","2460R","Nisqually","Nisqually Reservation","86","D2","R","F","G2101","A",20486875,806566,"+47.0210629","-122.6608433"
"58","3235","01266248","3235R","Rosebud","Rosebud Indian Reservation","96","D8","R","F","G2101","A",3596063937,5854566,"+43.2087936","-100.7076636"
"59","0955","00222639","0955R","Dry Creek","Dry Creek Rancheria","85","D8","R","F","G2101","A",326069,0,"+38.7024973","-122.8564964"
"60","3985","00235473","3985R","Stewarts Point","Stewarts Point Rancheria","85","D2","R","F","G2101","A",174216,0,"+38.6565775","-123.3389676"
"61","1785","02418990","1785R","Klamath","Klamath Reservation","86","D2","R","F","G2101","A",1287196,0,"+42.5351683","-121.8802532"
"62","1110","00806894","1110R","Flathead","Flathead Reservation","86","D2","R","F","G2101","A",5013742472,316288129,"+47.4967703","-114.2842791"
"63","2270","02419017","2270R","Mille Lacs","Mille Lacs Reservation","86","D8","R","F","G2101","A",249245464,12239379,"+46.0862264","-093.5475044"
"64","3205","00767936","3205R","Rocky Boy's","Rocky Boy's Reservation","86","D8","R","F","G2101","A",227971460,306432,"+48.2103973","-109.7690071"
"65","2580","01934329","2580R","Ontonagon","Ontonagon Reservation","86","D2","R","F","G2101","A",9679643,0,"+46.9739525","-089.1032367"
"66","3480","01934345","3480R","Santa Ana","Santa Ana Pueblo","84","D2","R","F","G2101","A",260382708,1328554,"+35.4305604","-106.5874067"
"67","4770","01934347","4770R","Zia","Zia Pueblo","84","D8","R","F","G2101","A",486371991,115707,"+35.5615622","-106.7442428"
"68","1135","02418936","1135R","Forest County Potawatomi","Forest County Potawatomi Community","82","D8","R","F","G2101","A",49989311,175489,"+45.4926326","-088.6206011"
"69","2985","00654519","2985R","Prairie Island","Prairie Island Indian Community","95","D8","R","F","G2101","A",2274102,172313,"+44.6354456","-092.6567636"
"70","4360","00979564","4360R","Tuscarora Nation","Tuscarora Nation Reservation","86","D2","R","F","G2101","A",23524711,0,"+43.1628827","-078.9508650"
"71","2555","02419043","2555R","Oneida Nation","Oneida Nation Reservation","86","D2","R","F","G2101","A",212697,0,"+43.0407210","-075.6190168"
